"Lon";"Lat";"scientificName";"year";"month";"day";"accessRights";"bibliographicCitation";"name_sort";"X_leaflet_id";"layerId";"edit_id"
"66";-8.298612;40.126453;"Quercus lusitanica Lam.";2024;9;21;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"67";-8.217813;40.129658;"Quercus lusitanica Lam.";2024;9;30;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"68";-8.447502;39.617637;"Quercus lusitanica Lam.";2024;9;5;"http://creativecommons.org/licenses/by/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"69";-8.424018;37.359396;"Quercus lusitanica Lam.";2024;11;9;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"70";-8.147493;39.62299;"Quercus lusitanica Lam.";2024;11;10;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"71";-8.439267;37.369305;"Quercus lusitanica Lam.";2024;11;9;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"72";-8.422271;37.359203;"Quercus lusitanica Lam.";2024;11;9;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"73";-8.42172;37.355424;"Quercus lusitanica Lam.";2024;11;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"74";-8.422277;37.356618;"Quercus lusitanica Lam.";2024;11;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"75";-8.280832;40.139679;"Quercus lusitanica Lam.";2024;11;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"76";-8.282612;40.139664;"Quercus lusitanica Lam.";2024;11;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"77";-8.281715;40.137611;"Quercus lusitanica Lam.";2024;11;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"78";-8.282798;40.138847;"Quercus lusitanica Lam.";2024;11;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"79";-8.323482;40.126247;"Quercus lusitanica Lam.";2024;11;27;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
"80";-8.283507;40.137947;"Quercus lusitanica Lam.";2024;11;23;"http://creativecommons.org/licenses/by-nc/4.0/legalcode";". Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2026-04-22";"Portugal";305;"305";"305"
