id	institutionCode	datasetName	eventID	eventDate	locationID	countryCode	locality	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters
Santa Maria island_2018-09-07T15:15:02	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:15:02	2018-09-07T15:15:02	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:15:09	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:15:09	2018-09-07T15:15:09	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:15:17	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:15:17	2018-09-07T15:15:17	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:15:29	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:15:29	2018-09-07T15:15:29	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:15:36	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:15:36	2018-09-07T15:15:36	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:15:43	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:15:43	2018-09-07T15:15:43	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:15:48	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:15:48	2018-09-07T15:15:48	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:45:03	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:45:03	2018-09-07T15:45:03	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:45:21	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:45:21	2018-09-07T15:45:21	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:45:32	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:45:32	2018-09-07T15:45:32	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:45:56	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:45:56	2018-09-07T15:45:56	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:46:05	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:46:05	2018-09-07T15:46:05	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:46:13	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:46:13	2018-09-07T15:46:13	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
Santa Maria island_2018-09-07T15:46:36	IMAR-DOP/UAZ	Kelp occurrences in the Azores (northeast Atlantic)	Santa Maria island_2018-09-07T15:46:36	2018-09-07T15:46:36	http://marineregions.org/mrgid/2459	PT	Santa Maria island	37.05	-25.10	2000m
